,Postcode,Population
419,3356,16321
420,3469,280
421,3564,15944
422,3032,29450
423,3764,9165
424,3075,22594
425,3087,9031
426,3031,18531
427,3521,660
428,3335,5856
429,3133,22125
430,3330,217
431,3213,4033
432,3168,20197
433,3804,8094
434,3144,10886
435,3018,12689
436,3019,9195
437,3083,31526
438,3103,15343
439,3181,20260
440,3088,26892
441,3146,25255
442,3352,15996
443,3641,1238
444,3637,594
445,3207,16175
446,3807,7097
447,3586,829
448,3781,4477
449,3783,2350
450,3500,32738
451,3498,5325
452,3714,3509
453,3713,1024
454,3108,20826
455,3129,17376
456,3015,17472
457,3206,10359
458,3016,15560
459,3738,219
460,3640,996
461,3268,2607
462,3037,51155
463,3926,3242
464,3916,955
465,3929,905
466,3882,1095
467,3730,8833
468,3685,2722
469,3691,9704
470,3418,2772
471,3965,209
472,3269,730
473,3236,230
474,3964,134
475,3201,20711
476,3194,12965
477,3215,20616
478,3660,7574
479,3220,16353
480,3981,4898
481,3219,19715
482,3873,321
483,3934,18548
484,3275,425
485,3913,3338
486,3835,471
487,3988,999
488,3270,247
489,3966,511
490,3237,214
491,3267,248
492,3224,14187
493,3874,558
494,3842,4783
495,3936,11024
496,3918,3705
497,3937,1524
498,3919,3183
499,3942,2313
500,3944,510
501,3170,19368
502,3666,4698
503,3462,1173
504,3980,3350
505,3415,40
506,3646,584
507,3341,1663
508,3910,22588
509,3953,7855
510,3429,36297
511,3750,9060
512,3340,21121
513,3480,1856
514,3753,2330
515,3011,21462
516,3013,14965
517,3041,12412
518,3055,14159
519,3477,829
520,3850,14779
521,3870,1271
522,3962,914
523,3533,778
524,3572,151
525,3875,18625
526,3878,1094
527,3869,1626
528,3230,2545
529,3943,1592
530,3280,31569
531,3612,1709
532,3892,1063
533,3810,47894
534,3941,12172
535,3515,1944
536,3898,790
537,3636,5241
538,3634,1799
539,3337,36454
540,3923,519
541,3427,2763
542,3957,281
543,3967,125
544,3792,1065
545,3187,15998
546,3159,2648
547,3323,92
548,3202,2907
549,3021,54191
550,3946,209
551,3911,3414
552,3931,23989
553,3279,290
554,3407,420
555,3890,324
556,3715,307
557,3719,367
558,3622,457
559,3549,3522
560,3633,605
561,3635,537
562,3629,9127
563,3006,18808
564,3860,7172
565,3150,60079
566,3099,4878
567,3289,756
568,3178,33672
569,3205,10920
570,3149,33611
571,3350,59145
572,3155,22195
573,3008,10437
574,3880,4032
575,3793,3577
576,3303,336
577,3865,449
578,3101,24605
579,3051,14940
580,3066,8513
581,3787,1062
582,3183,18497
583,3148,8641
584,3791,1437
585,3162,17448
586,3786,1518
587,3785,77
588,3186,23253
589,3329,285
590,3273,143
591,3154,4419
592,3127,18445
593,3067,8197
594,3003,5515
595,3142,12909
596,3052,5694
597,3054,8428
598,3272,1539
599,3324,529
600,3131,22504
601,3766,1239
602,3976,25530
603,3314,525
604,3190,10454
605,3286,566
606,3172,23089
