,Postcode,Weekly Income
414,3231,1228
415,3377,1011
416,3707,902
417,3390,915
418,3351,1249
419,3356,960
420,3469,778
421,3564,1168
422,3032,1720
423,3764,1374
424,3075,1112
425,3087,1543
426,3031,1626
427,3521,1286
428,3335,1728
429,3133,1664
430,3330,900
431,3213,1602
432,3168,1069
433,3804,2165
434,3144,2306
435,3018,1440
436,3019,1051
437,3083,1305
438,3103,1731
439,3181,1816
440,3088,1739
441,3146,2195
442,3352,1439
443,3641,1130
444,3637,1196
445,3207,2190
446,3807,1928
447,3586,1385
448,3781,1573
449,3783,1618
450,3500,1023
451,3498,1228
452,3714,989
453,3713,791
454,3108,1366
455,3129,1541
456,3015,2071
457,3206,2301
458,3016,2008
459,3738,982
460,3640,1246
461,3268,1147
462,3037,1684
463,3926,1533
464,3916,1708
465,3929,1632
466,3882,1073
467,3730,994
468,3685,1154
469,3691,1631
470,3418,1004
471,3965,830
472,3269,1364
473,3236,875
474,3964,819
475,3201,1339
476,3194,1521
477,3215,1141
478,3660,1024
479,3220,1573
480,3981,1379
481,3219,991
482,3873,1403
483,3934,1707
484,3275,1611
485,3913,1523
486,3835,1133
487,3988,1184
488,3270,943
489,3966,866
490,3237,814
491,3267,1166
492,3224,1334
493,3874,891
494,3842,964
495,3936,1157
496,3918,1449
497,3937,1774
498,3919,1167
499,3942,1060
500,3944,1863
501,3170,1572
502,3666,912
503,3462,919
504,3980,1501
505,3415,1124
506,3646,1221
507,3341,1613
508,3910,1579
509,3953,1131
510,3429,1573
511,3750,1612
512,3340,1426
513,3480,895
514,3753,1940
515,3011,1441
516,3013,2047
517,3041,1905
518,3055,1423
519,3477,872
520,3850,1168
521,3870,1089
522,3962,844
523,3533,808
524,3572,1047
525,3875,1026
526,3878,1111
527,3869,1369
528,3230,1284
529,3943,1136
530,3280,1162
531,3612,832
532,3892,774
533,3810,1383
534,3941,1067
535,3515,1468
536,3898,1025
537,3636,987
538,3634,1367
539,3337,1296
540,3923,924
541,3427,1440
542,3957,1402
543,3967,939
544,3792,1583
545,3187,2065
546,3159,1849
547,3323,1145
548,3202,1816
549,3021,1050
550,3946,1137
551,3911,1492
552,3931,1203
553,3279,1375
554,3407,1021
555,3890,749
556,3715,1145
557,3719,1125
558,3622,1312
559,3549,1107
560,3633,1445
561,3635,1272
562,3629,1022
563,3006,1852
564,3860,1117
565,3150,1591
566,3099,1831
567,3289,1100
568,3178,1892
569,3205,1842
570,3149,1643
571,3350,1238
572,3155,1318
573,3008,1858
574,3880,838
575,3793,1377
576,3303,1237
577,3865,1111
578,3101,2206
579,3051,1236
580,3066,1712
581,3787,2005
582,3183,1680
583,3148,1531
584,3791,1734
585,3162,1911
586,3786,1971
587,3785,2187
588,3186,2410
589,3329,1078
590,3273,1208
591,3154,1680
592,3127,2192
593,3067,2001
594,3003,1766
595,3142,2311
596,3052,1605
597,3054,1991
598,3272,857
599,3324,795
600,3131,1428
601,3766,1553
602,3976,1307
603,3314,1092
604,3190,1613
605,3286,987
606,3172,1370
607,3195,1819
608,3292,956
609,3260,993
610,3977,1560
611,3053,572
612,3065,1715
613,3795,1698
614,3930,2030
615,3912,1485
616,3281,1640
617,3225,1206
618,3933,2028
619,3278,1261
620,3852,1374
621,3987,1404
622,3301,1367
623,3109,1504
624,3954,1329
625,3234,1053
626,3945,1226
627,3951,1088
628,3956,881
629,3437,1883
630,3082,1500
631,3111,1783
632,3139,1464
633,3777,1226
634,3775,1543
635,3770,1646
636,3806,1752
637,3760,1854
638,3122,1813
639,3153,1351
640,3250,1055
641,3102,2149
642,3920,1952
643,3927,1468
644,3767,1603
645,3441,2068
646,3440,1848
647,3070,1868
648,3078,1856
649,3218,1286
650,3059,2030
651,3788,1518
652,3460,928
653,3156,1603
654,3158,1773
655,3815,1475
656,3128,1200
657,3814,1403
658,3355,887
659,3163,1524
660,3332,1447
661,3167,1476
662,3169,1304
663,3189,1474
664,3831,1259
665,3175,1074
666,3802,1454
667,3856,1609
668,3177,973
669,3857,1516
670,3160,1688
671,3322,774
672,3328,1621
673,3173,1585
674,3321,1678
675,3196,1456
676,3180,1478
677,3184,1892
678,3185,1830
679,3789,1547
680,3938,1241
681,3990,1075
682,3991,811
683,3922,903
684,3739,1075
685,3740,1125
686,3727,1011
687,3318,940
688,3312,1003
689,3277,1465
690,3921,477
